results.date,b.1.617.2,ay.103,ay.119,ay.25,ay.3,ay.39,ay.44,other
2021-07-06,3.8712252228282553,8.134894239723293,0.9445257416522548,8.746840494878276,6.385526140747638,1.729413329785819,17.939337501662898,52.24823732872156
2021-07-07,4.0373606507984325,8.641156974992468,1.0003012955709552,8.918348900271166,6.483880686953903,1.687255197348599,17.878879180476044,51.35281711358842
2021-07-08,3.9979813838735003,8.853874621509476,1.0990243355388583,8.92116182572614,6.846473029045643,1.7999327127957832,17.76942918021756,50.71212291129304
2021-07-09,3.964987234929401,9.21169176262179,1.1670921690199554,8.883447090084928,7.054655343093836,1.8392122127859116,17.944042098681813,49.93487208878237
2021-07-10,4.04084397986837,9.368950832365467,1.2049941927990708,9.054394115369725,7.142857142857142,1.7760356174990322,18.00232288037166,49.409601238869534
2021-07-11,3.984718582026564,9.466483052729776,1.2571631646750479,9.275465328061836,7.160943538714405,1.794678157345298,17.706898849451377,49.353649326995686
2021-07-12,4.058073100101745,9.552320576035063,1.3109493621350865,9.591453392815216,7.153478907411756,1.7492369100727871,18.00500900054786,48.57947875088049
2021-07-13,3.998324511633221,9.679753246258711,1.4393968241879596,9.847302082936675,7.299798179810364,1.7249914321617605,18.171432923346405,47.8390007996649
2021-07-14,3.961935794423668,9.612322731143777,1.5329359055059801,10.401007146295406,7.29070241048617,1.706964860961973,18.213796423149553,47.28033472803347
2021-07-15,3.891680437055273,9.78315853370654,1.6591913128519882,10.902775435874954,7.3382119852965975,1.7873402353893366,17.58338110815095,47.05426095167437
2021-07-16,3.822911617385684,9.98868961059945,1.7385684278558733,11.287768621748262,7.380836968815639,1.861366941347552,17.534335110680235,46.38552270156729
2021-07-17,3.8477243458868613,10.095172283820713,1.790369695637152,11.439520055281593,7.428463737161165,1.9285736721424758,17.564469014040267,45.90570719602978
2021-07-18,3.853076664937917,10.268769639098203,1.8212880197687544,11.75142621800543,7.455993166356508,1.970773971140059,17.59053052259068,45.28814179810244
2021-07-19,3.895285558801627,10.660480036661511,1.9190009738213898,12.146989746233604,7.610127742452885,2.0536174600446815,17.74073437589506,43.973764106089256
2021-07-20,3.950997030123039,10.969983029274504,2.0603521425540947,12.362112855324566,7.819792108612644,2.1399024183283837,17.551442511667375,43.145417904115405
2021-07-21,3.940422790017596,11.323139451314713,2.235384501003693,12.554831354861095,7.786671953607098,2.2552105276201337,17.560903075512382,42.34343634606329
2021-07-22,4.055180958280717,11.669962593219125,2.3492411426937645,12.856496152105024,7.831598008148482,2.2610850349050535,17.929046246217624,41.04738986443021
2021-07-23,4.089152913326037,12.012863747012977,2.387386381401166,13.19874042477165,7.827679388972017,2.2355227013868726,17.935547267570403,40.31310717555888
2021-07-24,4.041890623666923,12.166197423428036,2.4421977646958455,13.341438443818788,7.844893780394164,2.222506612063817,17.8483064584933,40.09256889343913
2021-07-25,4.081887404818374,12.266466941289062,2.5090500561727627,13.28797902883535,7.899554778845753,2.265634752215704,17.754753880081555,39.93467315774144
